addr_state,decision
DC,0.9986033519553073
AZ,0.9995490078171978
GA,0.9996802728338484
SC,0.9996857322438718
LA,0.9996964177292046
WI,0.9997386987196237
MI,0.9997415018741114
TX,0.9997450063748407
CT,0.9997630893153281
NY,0.9997861968699222
NJ,0.9998017446471055
MN,0.9998036906164115
FL,0.9998527535093747
CA,0.9998791599197622
IL,0.9999138599362564
DE,1.0
KY,1.0
KS,1.0
IN,1.0
HI,1.0
ME,1.0
MD,1.0
MO,1.0
MA,1.0
MS,1.0
MT,1.0
ND,1.0
NC,1.0
CO,1.0
AK,1.0
AL,1.0
AR,1.0
NV,1.0
NM,1.0
NH,1.0
NE,1.0
OR,1.0
PA,1.0
OK,1.0
OH,1.0
SD,1.0
RI,1.0
UT,1.0
TN,1.0
VA,1.0
VT,1.0
WA,1.0
WV,1.0
WY,1.0
