addr_state,corrected_predicted_pd
ME,0.39622641509433965
MS,0.41739130434782606
ID,0.43103448275862066
NV,0.53216444258273
NE,0.5337423312883436
TN,0.5507954986418316
IA,0.5609756097560976
ND,0.5641025641025641
AL,0.5998437906795105
AR,0.6071498466958053
FL,0.6174653095264411
OK,0.6224517906336088
RI,0.6438423645320197
LA,0.6486472767879803
SC,0.6559773868122228
MD,0.6637414020939925
KY,0.6664239708765052
IN,0.6671519423798943
MO,0.6672359015091343
NC,0.6678515714906784
NM,0.6679379608441394
MI,0.6836660718269016
GA,0.6862301063093665
VA,0.6889804068388868
SD,0.6917694101966011
OH,0.6968899228602914
NJ,0.702314240492792
WI,0.7053322826372471
DE,0.7074351077870655
NY,0.7081375005910445
AZ,0.7134004928250471
AK,0.7162669748627565
TX,0.7235589864316152
PA,0.7361821858788359
HI,0.737202199144777
CT,0.7401645030224953
CA,0.7510339123242349
KS,0.7513019721676769
IL,0.7540065613333836
MA,0.7548156956004757
UT,0.7569452010022878
VT,0.77462792345854
MN,0.7799442896935933
OR,0.7850697292863003
WA,0.7910829042430049
CO,0.8120691842517022
DC,0.8126961981164981
MT,0.8134860050890586
WV,0.8191130392865751
NH,0.8408376963350785
WY,0.8665056916177992
